trip_id,trip_type_id,rocket_id,departure_date,return_date,status,speed
72,26,7,2024-07-30,2024-08-11,Scheduled,214601937.7576462
73,26,4,2024-02-22,2024-03-13,Completed,523331706.25290006
74,27,2,2024-02-05,2024-02-22,Completed,884724456.80737
75,28,11,2023-12-08,9999-01-01,Delayed,793506870.33392
76,28,5,2024-01-27,9999-01-01,Completed,415904219.7881563
77,29,18,2024-03-11,9999-01-01,Completed,431170662.8224922
78,29,8,2024-05-03,9999-01-01,Completed,422026804.32440984
79,31,12,2024-06-01,2024-06-20,Scheduled,549165331.9822811
80,31,17,2023-07-23,2023-08-08,Scheduled,758220186.5070696
81,32,3,2023-10-30,2023-11-24,Completed,94667816.47672965
82,33,17,2023-10-24,2023-11-01,Scheduled,892842238.0316341
83,33,13,2024-01-25,2024-01-30,Scheduled,702389899.3942822
84,33,4,2023-04-09,2023-04-19,Scheduled,236796562.9667991
85,33,18,2023-09-07,2023-09-20,Completed,323776425.7045388
86,33,15,2023-06-28,2023-07-25,Completed,174718491.79136807
87,34,12,2023-11-30,2023-12-12,Scheduled,847983605.949187
88,34,14,2024-02-06,2024-02-22,Completed,510311032.1217874
89,34,17,2024-03-26,2024-04-20,Completed,375108029.05411917
90,34,20,2023-12-02,2023-12-11,Completed,536532682.41264206
91,34,10,2024-02-02,2024-02-11,Scheduled,184396871.5379728
92,35,9,2024-03-05,2024-04-02,Scheduled,441442931.0727949
93,36,2,2024-04-07,2024-04-28,Scheduled,322397017.3466079
94,36,14,2023-03-19,2023-03-30,Delayed,611246078.6205693
95,36,13,2023-12-09,2023-12-22,Scheduled,642975573.3321252
96,36,18,2024-02-14,2024-03-09,Scheduled,719710754.2549067
97,36,17,2023-02-08,2023-02-26,Completed,101233396.76094157
98,37,17,2024-02-14,2024-03-07,Completed,887832929.0458071
99,38,13,2023-02-01,2023-02-12,Delayed,1056148632.7069281
100,38,1,2024-08-12,2024-09-04,Scheduled,193358041.21851033
101,39,8,2023-09-30,2023-10-22,Completed,832625023.8653152
102,40,19,2023-12-05,2023-12-27,Delayed,797661009.6713945
103,41,19,2023-03-01,2023-03-22,Completed,1002930558.9057744
104,41,6,2023-04-26,2023-05-13,Scheduled,317702277.572504
105,41,20,2023-04-29,2023-05-16,Completed,288584525.8836237
106,42,4,2024-01-23,2024-02-15,Delayed,828900625.9114262
107,42,7,2024-03-16,2024-03-21,Scheduled,148838011.69954008
108,43,9,2023-01-27,2023-02-11,Completed,501203250.3385049
109,44,2,2023-11-13,2023-11-23,Completed,734982326.8459092
110,44,19,2024-05-07,2024-05-26,Scheduled,212340390.1882882
111,44,12,2024-03-27,2024-04-20,Completed,866492677.7495819
112,45,16,2024-05-03,2024-05-23,Delayed,254647913.85744408
113,45,10,2023-09-02,2023-09-13,Completed,591188471.4167154
114,45,13,2024-02-11,2024-02-25,Completed,252975040.87247655
115,45,1,2023-09-23,2023-10-20,Completed,271700233.9386575
116,46,20,2024-03-30,2024-04-20,Completed,702095357.8371856
117,46,2,2023-09-20,2023-10-01,Scheduled,424165450.90162015
118,46,8,2023-12-16,2023-12-24,Scheduled,513951196.4682218
119,46,3,2024-04-18,2024-05-15,Scheduled,62150637.36872234
120,47,15,2024-04-14,2024-05-08,Scheduled,600545700.768465
121,47,14,2024-03-21,2024-04-19,Scheduled,383960016.8826017
122,47,19,2024-08-18,2024-08-25,Completed,353902412.04916155
123,48,10,2024-06-09,2024-06-21,Scheduled,557809304.4818653
124,48,8,2023-01-12,2023-01-18,Scheduled,170849274.7714967
125,49,9,2023-06-22,2023-07-03,Completed,894418588.3776335
126,50,10,2024-03-15,2024-04-11,Scheduled,370436709.6267872
127,51,12,2023-11-02,2023-11-22,Scheduled,98192113.28344342
128,52,10,2023-12-07,2023-12-14,Scheduled,286988563.1982663
129,53,16,2024-01-25,2024-02-03,Delayed,65680830.03887129
130,53,12,2023-06-06,2023-06-12,Delayed,1030095155.9278319
131,54,19,2024-06-29,2024-07-20,Scheduled,873690072.3347336
132,54,19,2024-03-23,2024-04-21,Delayed,31613901.759121712
133,54,12,2024-03-11,2024-03-20,Delayed,697092228.6493899
134,55,2,2023-08-18,2023-09-07,Completed,297844630.93580765
135,56,13,2023-10-28,2023-11-10,Scheduled,56918002.58044979
136,56,18,2024-01-25,2024-02-13,Delayed,674937691.6511303
137,57,7,2024-01-05,2024-02-01,Scheduled,74272341.6256812
138,57,19,2023-08-16,2023-08-25,Completed,898746201.0370342
139,57,1,2024-05-25,2024-06-17,Scheduled,639610091.1195805
140,57,4,2023-12-13,2024-01-02,Completed,447444851.9474408
141,57,7,2023-05-10,2023-05-19,Completed,57733573.009443685
142,58,15,2024-07-21,2024-07-26,Scheduled,845819439.5746111
143,58,16,2023-12-15,2023-12-24,Delayed,196868860.53339028
144,58,1,2024-07-13,2024-07-25,Delayed,1024507019.9008539
145,58,12,2024-02-08,2024-02-23,Scheduled,130098003.7196199
146,59,7,2023-08-10,2023-09-05,Delayed,94935160.05969702
147,59,13,2023-10-04,2023-10-24,Scheduled,657498735.5431681
148,59,6,2024-01-28,2024-02-05,Scheduled,838390856.089887
149,59,9,2024-01-22,2024-02-20,Completed,416273479.34908223
150,60,6,2024-03-15,2024-04-05,Scheduled,8142380.928497728
151,60,6,2023-12-10,2023-12-16,Delayed,360478828.77579916
152,60,10,2024-08-07,2024-09-06,Scheduled,457591798.9279049
153,60,19,2023-04-04,2023-04-16,Scheduled,111292543.69279198
154,61,1,2023-12-31,2024-01-27,Scheduled,481629158.9554285
155,61,11,2023-03-02,2023-03-11,Scheduled,298131987.86956763
156,61,15,2023-03-16,2023-04-02,Delayed,1022592531.3412552
157,61,13,2023-07-03,2023-07-23,Completed,169787679.1412693
158,62,11,2023-05-05,2023-05-26,Scheduled,433963441.1636734
159,62,5,2023-09-12,2023-10-03,Scheduled,728033431.2472748
160,62,9,2023-09-01,2023-09-25,Completed,492635525.4421896
161,62,6,2024-06-11,2024-06-30,Delayed,602707036.9815322
162,62,16,2023-04-20,2023-05-12,Scheduled,984977171.7229013
163,63,7,2023-01-01,2023-01-31,Completed,515074165.2901766
164,63,2,2023-07-09,2023-08-03,Delayed,733133248.9406518
165,63,2,2023-03-26,2023-04-11,Completed,459905955.03792655
166,63,1,2023-10-24,2023-11-18,Delayed,961748291.5840786
167,63,8,2023-08-26,2023-09-08,Completed,29290060.94308862
168,64,3,2023-12-14,2023-12-22,Completed,726617967.518
169,64,6,2023-07-22,2023-08-20,Scheduled,42769808.73631213
170,64,14,2024-07-11,2024-07-21,Delayed,416459869.66986793
