cost_id,trip_id,description,amount
129,45,Logistics,44161.68
130,45,Logistics,66529.1
131,46,Crew,3852.54
132,46,Fuel,2959.13
133,46,Crew,2188.33
134,47,Crew,4479.07
135,47,Logistics,4520.93
136,48,Crew,2007.09
137,48,Logistics,2049.67
138,48,Fuel,2374.59
139,48,Maintenance,2568.65
140,49,Crew,7852.84
141,49,Fuel,12425.07
142,49,Logistics,11504.11
143,50,Maintenance,2784.7
144,50,Maintenance,2120.71
145,50,Logistics,2306.11
146,50,Maintenance,1788.49
147,51,Maintenance,6038.37
148,51,Crew,2961.63
149,52,Crew,4235.0
150,52,Logistics,4765.0
151,53,Logistics,4477.81
152,53,Maintenance,4522.19
153,54,Maintenance,25415.51
154,54,Maintenance,33156.97
155,54,Fuel,16274.91
156,54,Maintenance,33172.29
157,55,Fuel,2695.77
158,55,Crew,3986.86
159,55,Maintenance,2317.38
160,56,Fuel,2619.26
161,56,Logistics,3723.1
162,56,Fuel,2657.64
163,57,Crew,1898.74
164,57,Maintenance,3240.05
165,57,Fuel,3861.2
166,58,Logistics,1584.96
167,58,Maintenance,3000.21
168,58,Crew,2265.69
169,58,Fuel,2149.14
170,59,Logistics,2340.95
171,59,Logistics,2721.06
172,59,Fuel,1974.31
173,59,Logistics,1963.68
174,60,Maintenance,2589.23
175,60,Logistics,3770.8
176,60,Maintenance,2639.97
177,61,Maintenance,3496.09
178,61,Crew,5503.91
179,62,Maintenance,3140.28
180,62,Maintenance,2359.78
181,62,Logistics,1760.7
182,62,Fuel,1739.23
183,63,Fuel,2930.22
184,63,Logistics,2461.94
185,63,Logistics,3607.84
186,64,Crew,1870.48
187,64,Maintenance,3032.51
188,64,Logistics,4097.01
189,65,Fuel,2643.06
190,65,Crew,2624.96
191,65,Crew,1274.83
192,65,Logistics,2457.15
193,66,Logistics,2317.04
194,66,Crew,4394.01
195,66,Logistics,2288.95
196,67,Logistics,36831.39
197,67,Crew,27337.95
198,67,Logistics,30253.37
199,67,Fuel,20466.55
200,68,Crew,32959.47
201,68,Fuel,35002.69
202,68,Logistics,33571.31
203,69,Crew,2048.36
204,69,Maintenance,2397.66
205,69,Crew,2564.78
206,69,Maintenance,1989.2
207,70,Fuel,2006.87
208,70,Maintenance,2836.34
209,70,Logistics,1901.8
210,70,Fuel,2254.98
211,71,Fuel,37670.01
212,71,Fuel,18386.33
213,71,Maintenance,33514.07
214,72,Fuel,2277.91
215,72,Crew,2023.51
216,72,Fuel,1725.69
217,72,Logistics,2972.9
218,73,Logistics,1682.78
219,73,Fuel,2678.58
220,73,Fuel,2441.86
221,73,Logistics,2196.78
222,74,Logistics,4775.94
223,74,Fuel,4224.06
224,75,Crew,2401.83
225,75,Maintenance,2176.89
226,75,Crew,2406.53
227,75,Crew,2014.75
228,76,Maintenance,2079.98
229,76,Maintenance,2587.25
230,76,Maintenance,4332.77
231,77,Logistics,1930.38
232,77,Fuel,1663.44
233,77,Maintenance,2896.13
234,77,Fuel,2510.05
235,78,Fuel,2397.41
236,78,Fuel,4070.75
237,78,Crew,2531.84
238,79,Crew,2353.56
239,79,Fuel,2185.21
240,79,Maintenance,4461.23
241,80,Maintenance,2731.48
242,80,Maintenance,1529.64
243,80,Fuel,2434.32
244,80,Fuel,2304.56
245,81,Maintenance,20692.29
246,81,Crew,25155.5
247,81,Logistics,25146.45
248,81,Maintenance,43866.61
249,82,Fuel,3963.74
250,82,Logistics,2903.43
251,82,Logistics,2132.83
252,83,Fuel,5631.58
253,83,Crew,4796.84
254,83,Crew,8008.15
255,83,Fuel,4017.54
256,84,Logistics,4868.01
257,84,Fuel,4131.99
258,85,Fuel,2463.5
259,85,Crew,2462.88
260,85,Logistics,1681.88
261,85,Fuel,2391.75
262,86,Logistics,2926.68
263,86,Crew,2026.09
264,86,Fuel,2150.11
265,86,Logistics,1897.12
266,87,Maintenance,5269.06
267,87,Fuel,3730.94
268,88,Fuel,2551.1
269,88,Logistics,2066.85
270,88,Fuel,2449.43
271,88,Logistics,1932.62
272,89,Logistics,3693.37
273,89,Crew,5306.63
274,90,Crew,2589.19
275,90,Fuel,2027.39
276,90,Crew,1981.12
277,90,Fuel,2402.31
278,91,Fuel,36388.66
279,91,Maintenance,27398.42
280,91,Fuel,18388.89
281,91,Logistics,32683.13
282,92,Crew,2583.42
283,92,Crew,1727.1
284,92,Logistics,1930.73
285,92,Crew,2758.74
286,93,Logistics,27516.31
287,93,Maintenance,42486.11
288,94,Maintenance,48247.58
289,94,Crew,62411.83
290,95,Logistics,1878.57
291,95,Fuel,2938.9
292,95,Maintenance,1653.03
293,95,Logistics,2529.5
294,96,Fuel,3673.22
295,96,Fuel,5326.78
296,97,Maintenance,3300.17
297,97,Logistics,3120.59
298,97,Crew,2579.24
299,98,Logistics,22466.12
300,98,Crew,25820.21
301,98,Logistics,28854.29
302,98,Crew,33533.9
303,99,Maintenance,4848.29
304,99,Maintenance,4151.71
305,100,Maintenance,24014.97
306,100,Fuel,31033.95
307,100,Maintenance,30417.04
308,100,Logistics,25208.52
309,101,Maintenance,2712.97
310,101,Maintenance,1726.62
311,101,Logistics,2442.96
312,101,Fuel,2117.45
313,102,Logistics,2543.36
314,102,Crew,3076.59
315,102,Logistics,3380.05
316,103,Maintenance,5339.66
317,103,Crew,3660.34
318,104,Fuel,3518.68
319,104,Fuel,2971.67
320,104,Logistics,2509.66
321,105,Crew,2707.36
322,105,Logistics,2890.43
323,105,Fuel,3402.21
324,106,Maintenance,5648.66
325,106,Fuel,3351.34
326,107,Fuel,1973.1
327,107,Fuel,2471.44
328,107,Fuel,2534.72
329,107,Crew,2020.74
330,108,Crew,21519.98
331,108,Crew,34005.13
332,108,Logistics,22170.84
333,108,Crew,37178.4
334,109,Crew,45907.66
335,109,Crew,42871.64
336,109,Crew,26095.05
337,110,Logistics,2415.8
338,110,Logistics,1761.43
339,110,Maintenance,2538.97
340,110,Crew,2283.8
341,111,Fuel,2584.66
342,111,Crew,2395.38
343,111,Maintenance,4019.96
344,112,Crew,3320.7
345,112,Fuel,3148.01
346,112,Crew,2531.29
347,113,Logistics,4013.64
348,113,Fuel,4986.36
349,114,Crew,26307.13
350,114,Maintenance,19349.56
351,114,Fuel,40499.51
352,114,Crew,28718.02
353,115,Maintenance,5406.41
354,115,Fuel,3593.59
355,116,Maintenance,21217.94
356,116,Crew,25918.58
357,116,Maintenance,32287.54
358,116,Crew,35455.73
359,117,Fuel,1895.13
360,117,Maintenance,2902.63
361,117,Maintenance,2535.59
362,117,Maintenance,1666.65
363,118,Logistics,3713.57
364,118,Fuel,5286.43
365,119,Logistics,2578.26
366,119,Fuel,2903.22
367,119,Fuel,3518.52
368,120,Logistics,2122.35
369,120,Crew,1981.34
370,120,Maintenance,2429.88
371,120,Logistics,2466.44
372,121,Fuel,2509.06
373,121,Crew,3611.84
374,121,Maintenance,2879.1
375,122,Maintenance,21616.63
376,122,Crew,34301.4
377,122,Fuel,20440.19
378,122,Fuel,34328.56
379,123,Crew,32682.01
380,123,Crew,20556.49
381,124,Logistics,2879.44
382,124,Logistics,3090.95
383,124,Logistics,3029.61
384,125,Crew,2927.15
385,125,Logistics,3334.23
386,125,Maintenance,2738.62
387,126,Fuel,43583.82
388,126,Fuel,37320.19
389,126,Logistics,29782.76
390,127,Logistics,4452.55
391,127,Fuel,4547.45
392,128,Fuel,2764.74
393,128,Crew,2949.56
394,128,Crew,3285.69
395,129,Fuel,2707.83
396,129,Fuel,2825.37
397,129,Crew,3466.8
398,130,Maintenance,2381.04
399,130,Fuel,3340.49
400,130,Crew,3278.47
401,131,Fuel,2400.99
402,131,Logistics,4328.58
403,131,Logistics,2270.43
404,132,Fuel,3274.07
405,132,Maintenance,2246.03
406,132,Fuel,3479.9
407,133,Crew,40276.6
408,133,Crew,28391.97
409,133,Maintenance,42017.38
410,134,Logistics,1657.87
411,134,Fuel,2908.21
412,134,Maintenance,2340.8
413,134,Maintenance,2093.12
414,135,Logistics,3844.62
415,135,Fuel,5155.38
416,136,Logistics,19737.48
417,136,Maintenance,38043.23
418,136,Fuel,34919.16
419,136,Logistics,22186.41
420,137,Fuel,4751.35
421,137,Crew,4248.65
422,138,Crew,61139.26
423,138,Fuel,49548.19
424,139,Logistics,5467.8
425,139,Fuel,3532.2
426,140,Maintenance,3202.24
427,140,Maintenance,3814.0
428,140,Fuel,1983.76
429,141,Logistics,5597.97
430,141,Logistics,3402.03
431,142,Maintenance,2477.32
432,142,Fuel,1943.16
433,142,Crew,2017.05
434,142,Crew,2562.46
435,143,Fuel,3621.75
436,143,Crew,5378.25
437,144,Crew,1390.0
438,144,Logistics,2952.16
439,144,Maintenance,2634.28
440,144,Crew,2023.55
441,145,Fuel,3792.79
442,145,Crew,2038.6
443,145,Crew,3168.61
444,146,Logistics,59036.47
445,146,Fuel,55833.24
446,147,Maintenance,4895.25
447,147,Logistics,4104.75
448,148,Logistics,1774.98
449,148,Logistics,2227.04
450,148,Crew,2904.12
451,148,Crew,2093.86
452,149,Maintenance,3531.49
453,149,Logistics,5468.51
454,150,Crew,5101.5
455,150,Fuel,3898.5
456,151,Logistics,3424.18
457,151,Maintenance,5575.82
458,152,Maintenance,4082.0
459,152,Logistics,4918.0
460,153,Maintenance,1663.78
461,153,Crew,2695.1
462,153,Maintenance,2995.54
463,153,Logistics,1645.58
464,154,Maintenance,43244.33
465,154,Logistics,35968.84
466,154,Logistics,35656.78
467,155,Logistics,2499.97
468,155,Maintenance,3725.1
469,155,Maintenance,2774.93
470,156,Fuel,22770.11
471,156,Crew,30853.12
472,156,Maintenance,31957.04
473,156,Fuel,25089.66
474,157,Crew,2085.04
475,157,Maintenance,2786.24
476,157,Crew,2604.6
477,157,Maintenance,1524.13
478,158,Logistics,8543.53
479,158,Logistics,19134.47
480,158,Crew,18708.82
481,159,Crew,22526.78
482,159,Maintenance,17423.34
483,159,Logistics,30888.69
484,160,Logistics,1824.1
485,160,Maintenance,2421.12
486,160,Maintenance,2447.48
487,160,Crew,2307.3
488,161,Maintenance,3022.35
489,161,Maintenance,3144.32
490,161,Maintenance,2833.33
491,162,Fuel,2772.51
492,162,Logistics,3709.21
493,162,Logistics,2518.27
494,163,Maintenance,2180.17
495,163,Crew,2327.18
496,163,Crew,2735.57
497,163,Maintenance,1757.07
498,164,Logistics,4932.54
499,164,Crew,4067.46
500,165,Crew,4148.91
501,165,Crew,2415.15
502,165,Crew,2435.94
503,166,Fuel,4415.31
504,166,Crew,4584.69
505,167,Crew,3243.75
506,167,Fuel,2326.63
507,167,Maintenance,3429.62
508,168,Maintenance,3723.89
509,168,Logistics,5276.11
510,169,Maintenance,2888.3
511,169,Logistics,1933.26
512,169,Logistics,1403.41
513,169,Maintenance,2775.03
514,170,Crew,2008.2
515,170,Logistics,2683.44
516,170,Crew,1991.95
517,170,Logistics,2316.41
518,171,Logistics,2071.27
519,171,Maintenance,2425.06
520,171,Logistics,2653.75
521,171,Crew,1849.92
522,172,Logistics,1876.6
523,172,Maintenance,1831.09
524,172,Crew,1917.64
525,172,Logistics,3374.66
526,173,Maintenance,2253.93
527,173,Maintenance,2501.07
528,173,Crew,1406.13
529,173,Logistics,2838.88
530,174,Fuel,23766.59
531,174,Logistics,32835.21
532,174,Maintenance,33274.82
533,174,Fuel,25003.25
534,175,Crew,3548.76
535,175,Logistics,2684.28
536,175,Logistics,2766.96
537,176,Maintenance,3764.32
538,176,Maintenance,2452.38
539,176,Logistics,2783.3
540,177,Logistics,3091.59
541,177,Crew,1818.67
542,177,Crew,1996.64
543,177,Fuel,2093.1
544,178,Maintenance,3461.55
545,178,Fuel,5538.45
546,179,Maintenance,1897.74
547,179,Fuel,1673.23
548,179,Maintenance,2235.31
549,179,Logistics,3193.72
550,180,Logistics,4269.11
551,180,Crew,4730.89
552,181,Fuel,44874.17
553,181,Fuel,28426.28
554,181,Maintenance,37388.61
555,182,Maintenance,1959.22
556,182,Maintenance,2438.77
557,182,Crew,2343.05
558,182,Logistics,2258.96
559,183,Fuel,4854.52
560,183,Crew,4145.48
561,184,Fuel,2098.96
562,184,Logistics,1958.65
563,184,Maintenance,1953.62
564,184,Crew,2988.77
565,185,Crew,5277.21
566,185,Fuel,3722.79
567,186,Fuel,1824.58
568,186,Maintenance,2450.5
569,186,Logistics,2729.91
570,186,Fuel,1995.01
571,187,Logistics,3999.34
572,187,Logistics,5000.66
573,188,Fuel,2130.91
574,188,Fuel,2743.74
575,188,Maintenance,2143.12
576,188,Fuel,1982.23
577,189,Maintenance,2232.26
578,189,Crew,2087.58
579,189,Logistics,2013.94
580,189,Fuel,2666.23
581,190,Logistics,3067.93
582,190,Logistics,2627.78
583,190,Maintenance,3304.3
584,191,Fuel,3975.73
585,191,Fuel,5024.27
586,192,Maintenance,4266.97
587,192,Maintenance,4733.03
588,193,Maintenance,2882.24
589,193,Fuel,3741.85
590,193,Maintenance,2375.91
591,194,Maintenance,5911.48
592,194,Fuel,3088.52
593,195,Fuel,4442.29
594,195,Logistics,4557.71
595,196,Crew,2544.05
596,196,Crew,2567.36
597,196,Maintenance,3888.59
598,197,Maintenance,2446.93
599,197,Crew,2282.09
600,197,Logistics,4270.98
601,198,Fuel,54574.66
602,198,Fuel,60314.38
603,199,Fuel,2941.41
604,199,Fuel,3366.09
605,199,Fuel,2692.5
606,200,Maintenance,2896.96
607,200,Crew,2000.03
608,200,Crew,4103.01
609,201,Maintenance,3322.34
610,201,Fuel,5677.66
611,202,Fuel,34139.01
612,202,Fuel,26252.71
613,202,Fuel,19156.57
614,202,Fuel,35317.3
615,203,Logistics,4171.08
616,203,Logistics,2386.29
617,203,Crew,2442.64
618,204,Fuel,22328.78
619,204,Fuel,27100.04
620,204,Logistics,32655.33
621,204,Maintenance,28582.21
622,205,Fuel,3142.66
623,205,Logistics,2326.22
624,205,Maintenance,3531.12
625,206,Fuel,2546.42
626,206,Maintenance,2470.6
627,206,Fuel,2160.5
628,206,Fuel,1822.48
629,207,Crew,35092.01
630,207,Logistics,39665.92
631,207,Crew,35908.31
632,208,Fuel,2047.38
633,208,Maintenance,1923.21
634,208,Fuel,2768.39
635,208,Crew,2261.02
636,209,Logistics,1589.61
637,209,Logistics,2413.75
638,209,Maintenance,2579.2
639,209,Maintenance,2417.44
640,210,Logistics,2836.43
641,210,Crew,3068.49
642,210,Crew,3095.08
643,211,Maintenance,1668.11
644,211,Maintenance,3086.28
645,211,Fuel,2014.63
646,211,Logistics,2230.97
647,212,Maintenance,36942.21
648,212,Fuel,37597.66
649,212,Fuel,40319.86
650,213,Maintenance,2548.0
651,213,Crew,2872.97
652,213,Fuel,3579.03
653,214,Crew,1699.37
654,214,Logistics,2131.72
655,214,Fuel,2422.59
656,214,Logistics,2746.32
657,215,Maintenance,3464.41
658,215,Logistics,2592.26
659,215,Logistics,2943.32
660,216,Crew,1564.57
661,216,Logistics,2285.57
662,216,Fuel,2959.01
663,216,Maintenance,2190.85
664,217,Crew,11680.97
665,217,Crew,9513.56
666,217,Fuel,8614.64
667,217,Crew,11154.8
668,218,Maintenance,1892.28
669,218,Maintenance,2986.8
670,218,Fuel,1519.46
671,218,Fuel,2601.46
672,219,Logistics,4200.29
673,219,Crew,2497.22
674,219,Maintenance,2302.49
675,220,Crew,2356.34
676,220,Maintenance,1889.7
677,220,Crew,2249.4
678,220,Fuel,2504.56
679,221,Logistics,3618.31
680,221,Maintenance,3224.79
681,221,Crew,2156.91
682,222,Fuel,2057.41
683,222,Maintenance,3777.39
684,222,Fuel,3165.2
685,223,Maintenance,5103.54
686,223,Crew,3896.46
687,224,Maintenance,2594.83
688,224,Maintenance,2736.79
689,224,Maintenance,3668.37
690,225,Crew,3894.13
691,225,Maintenance,2253.42
692,225,Crew,2852.45
693,226,Logistics,2417.73
694,226,Crew,2264.2
695,226,Fuel,1737.09
696,226,Crew,2580.98
697,227,Logistics,4456.25
698,227,Crew,4543.75
699,228,Fuel,42243.34
700,228,Logistics,41787.43
701,228,Fuel,30828.34
702,229,Maintenance,1949.95
703,229,Logistics,2057.28
704,229,Maintenance,2116.1
705,229,Crew,2876.67
706,230,Maintenance,24413.37
707,230,Maintenance,26983.32
708,230,Maintenance,26228.97
709,230,Fuel,37239.63
710,231,Maintenance,4098.12
711,231,Crew,4901.88
712,232,Logistics,2467.52
713,232,Crew,2690.44
714,232,Logistics,1682.85
715,232,Maintenance,2159.19
716,233,Maintenance,33370.09
717,233,Maintenance,35222.93
718,233,Logistics,42072.39
719,234,Logistics,3071.71
720,234,Fuel,1781.78
721,234,Maintenance,2651.34
722,234,Maintenance,1495.18
723,235,Logistics,3288.96
724,235,Fuel,5711.04
725,236,Fuel,3816.19
726,236,Maintenance,5183.81
727,237,Fuel,1547.38
728,237,Logistics,2044.91
729,237,Crew,2296.48
730,237,Fuel,3111.23
731,238,Maintenance,2111.11
732,238,Logistics,1834.1
733,238,Crew,2355.6
734,238,Fuel,2699.19
735,239,Maintenance,54090.85
736,239,Crew,56582.57
737,240,Crew,2116.91
738,240,Maintenance,2592.74
739,240,Maintenance,1928.07
740,240,Fuel,2362.28
741,241,Logistics,3259.18
742,241,Fuel,5740.82
743,242,Maintenance,4909.72
744,242,Logistics,4090.28
745,243,Maintenance,44850.28
746,243,Fuel,40260.06
747,243,Logistics,25543.1
748,244,Maintenance,18403.5
749,244,Maintenance,17260.4
750,245,Logistics,4402.66
751,245,Crew,4597.34
752,246,Crew,29123.76
753,246,Crew,16954.99
754,246,Fuel,33276.31
755,246,Crew,31297.89
756,247,Fuel,2803.85
757,247,Logistics,1670.41
758,247,Crew,2574.52
759,247,Maintenance,1951.22
760,248,Fuel,2838.05
761,248,Crew,1775.91
762,248,Fuel,1648.57
763,248,Fuel,2737.47
764,249,Crew,2150.01
765,249,Maintenance,1704.85
766,249,Maintenance,2212.86
767,249,Fuel,2932.27
768,250,Logistics,1700.25
769,250,Logistics,2355.03
770,250,Fuel,1783.3
771,250,Fuel,3161.42
772,251,Maintenance,36445.33
773,251,Crew,47633.53
774,251,Crew,30774.36
775,252,Crew,3347.31
776,252,Crew,2475.65
777,252,Fuel,3177.04
778,253,Fuel,1947.88
779,253,Crew,2575.17
780,253,Fuel,2971.41
781,253,Logistics,1505.53
782,254,Maintenance,3721.1
783,254,Maintenance,2928.93
784,254,Logistics,2349.97
785,255,Crew,22625.89
786,255,Logistics,30746.75
787,255,Logistics,36522.2
788,255,Crew,20757.59
789,256,Maintenance,2164.94
790,256,Fuel,2679.84
791,256,Crew,2681.89
792,256,Maintenance,1473.32
793,257,Crew,2505.85
794,257,Fuel,2081.69
795,257,Crew,2073.98
796,257,Maintenance,2338.48
797,258,Crew,2033.32
798,258,Logistics,2564.99
799,258,Logistics,1603.14
800,258,Crew,2798.55
801,259,Maintenance,5121.92
802,259,Logistics,3878.08
803,260,Maintenance,3448.38
804,260,Crew,5551.62
805,261,Maintenance,54492.69
806,261,Fuel,56163.47
807,262,Maintenance,34953.73
808,262,Maintenance,35751.63
809,262,Logistics,39950.8
810,263,Fuel,5469.12
811,263,Crew,3530.88
812,264,Crew,2332.86
813,264,Logistics,2574.65
814,264,Maintenance,4092.49
815,265,Fuel,3436.27
816,265,Fuel,5563.73
817,266,Crew,4952.06
818,266,Logistics,4047.94
819,267,Logistics,2992.04
820,267,Crew,2266.51
821,267,Fuel,3741.45
822,268,Maintenance,24086.78
823,268,Maintenance,20216.91
824,268,Crew,19533.88
825,268,Maintenance,28153.07
826,269,Logistics,3092.6
827,269,Maintenance,3449.68
828,269,Maintenance,2457.72
829,270,Maintenance,2235.3
830,270,Logistics,2696.52
831,270,Maintenance,4068.19
832,271,Fuel,2465.89
833,271,Fuel,3380.97
834,271,Logistics,3153.15
835,272,Crew,32836.85
836,272,Fuel,38171.91
837,272,Logistics,43850.42
838,273,Fuel,2116.32
839,273,Crew,2273.75
840,273,Fuel,2199.54
841,273,Fuel,2410.4
842,274,Logistics,4312.35
843,274,Logistics,4687.65
844,275,Crew,3225.79
845,275,Crew,3192.86
846,275,Maintenance,2581.34
847,276,Fuel,4069.67
848,276,Fuel,4930.33
849,277,Fuel,2047.07
850,277,Fuel,2514.49
851,277,Maintenance,1909.35
852,277,Maintenance,2529.09
853,278,Crew,54906.71
854,278,Maintenance,59938.36
855,279,Fuel,5582.61
856,279,Logistics,3417.39
857,280,Fuel,3055.97
858,280,Crew,2395.38
859,280,Maintenance,3548.65
860,281,Fuel,31285.36
861,281,Crew,47049.43
862,281,Maintenance,32310.28
863,282,Logistics,9870.36
864,282,Logistics,11823.41
865,283,Crew,4963.88
866,283,Fuel,4036.12
867,284,Logistics,3576.05
868,284,Logistics,2031.15
869,284,Logistics,3392.8
870,285,Maintenance,2135.2
871,285,Crew,3818.24
872,285,Fuel,3046.56
873,286,Crew,3058.39
874,286,Logistics,1964.21
875,286,Logistics,3977.4
876,287,Logistics,3830.97
877,287,Maintenance,5169.03
878,288,Crew,2206.02
879,288,Logistics,3157.29
880,288,Logistics,3636.68
881,289,Fuel,2383.25
882,289,Crew,3153.12
883,289,Maintenance,3463.62
884,290,Fuel,1931.27
885,290,Maintenance,2543.52
886,290,Fuel,2097.86
887,290,Fuel,2427.36
888,291,Logistics,5844.93
889,291,Crew,3155.07
890,292,Fuel,2279.45
891,292,Fuel,2425.86
892,292,Logistics,4294.69
893,293,Crew,2586.15
894,293,Maintenance,3029.88
895,293,Crew,3383.97
896,294,Maintenance,5197.76
897,294,Logistics,3802.24
898,295,Logistics,2671.61
899,295,Logistics,3812.08
900,295,Crew,2516.31
901,296,Fuel,2062.01
902,296,Crew,3152.39
903,296,Fuel,3785.6
904,297,Maintenance,2454.52
905,297,Fuel,2278.33
906,297,Fuel,2435.74
907,297,Crew,1831.41
908,298,Fuel,3041.03
909,298,Crew,2876.53
910,298,Logistics,3082.44
911,299,Crew,2864.74
912,299,Logistics,2641.52
913,299,Fuel,3493.74
914,300,Fuel,40326.57
915,300,Logistics,33836.37
916,300,Maintenance,36476.88
917,301,Crew,2716.72
918,301,Maintenance,2335.45
919,301,Crew,3947.83
920,302,Logistics,4705.63
921,302,Crew,4294.37
922,303,Maintenance,1687.8
923,303,Maintenance,2846.49
924,303,Maintenance,1647.55
925,303,Fuel,2818.15
926,304,Fuel,2275.58
927,304,Fuel,2462.39
928,304,Fuel,2524.06
929,304,Fuel,1737.98
930,305,Crew,2000.49
931,305,Maintenance,3336.64
932,305,Fuel,3662.87
933,306,Fuel,2096.26
934,306,Maintenance,2635.89
935,306,Logistics,2814.76
936,306,Maintenance,1453.09
937,307,Fuel,5475.78
938,307,Crew,3524.22
939,308,Fuel,1345.29
940,308,Fuel,2422.94
941,308,Fuel,2339.8
942,308,Fuel,2891.97
943,309,Crew,2939.52
944,309,Maintenance,2337.04
945,309,Logistics,3723.45
946,310,Logistics,2110.87
947,310,Logistics,1460.22
948,310,Fuel,2836.66
949,310,Fuel,2592.26
950,311,Fuel,3800.84
951,311,Crew,2329.41
952,311,Logistics,2869.74
953,312,Maintenance,1833.24
954,312,Crew,2512.0
955,312,Crew,2149.75
956,312,Logistics,2505.0
957,313,Fuel,4041.5
958,313,Logistics,4958.5
959,314,Maintenance,3070.15
960,314,Fuel,2525.13
961,314,Fuel,3404.72
962,315,Crew,1997.43
963,315,Fuel,2314.08
964,315,Logistics,2045.0
965,315,Logistics,2643.48
966,316,Logistics,57782.71
967,316,Crew,50460.8
968,317,Logistics,2250.34
969,317,Logistics,3527.82
970,317,Crew,3221.85
971,318,Crew,28883.45
972,318,Fuel,18339.0
973,318,Maintenance,33100.3
974,319,Maintenance,4189.6
975,319,Fuel,4810.4
976,320,Crew,4829.3
977,320,Maintenance,4170.7
978,321,Maintenance,1541.9
979,321,Maintenance,2451.22
980,321,Logistics,3026.77
981,321,Maintenance,1980.11
982,322,Logistics,2683.59
983,322,Maintenance,1913.64
984,322,Maintenance,1457.08
985,322,Crew,2945.69
986,323,Maintenance,3552.21
987,323,Maintenance,2811.0
988,323,Crew,2636.78
989,324,Maintenance,2470.48
990,324,Crew,2676.93
991,324,Crew,3852.59
992,325,Fuel,2736.92
993,325,Logistics,4219.56
994,325,Maintenance,2043.52
995,326,Logistics,1968.78
996,326,Logistics,2841.7
